date,close,predict,prob_up,real,correct,ret,equity,idx
2025-03-20,25.22,跌↓,48.3,跌↓,✓,-2.26%,0.75,584
2025-03-21,24.65,跌↓,51.4,跌↓,✓,-0.08%,0.75,585
2025-03-24,24.63,跌↓,38.4,跌↓,✓,-0.53%,0.75,586
2025-03-25,24.5,涨↑,62.4,跌↓,✗,-0.24%,0.7482,587
2025-03-26,24.44,涨↑,60.3,涨↑,✓,+0.70%,0.7534,588
2025-03-27,24.61,跌↓,44.9,跌↓,✓,-0.89%,0.7534,589
2025-02-28,25.51,跌↓,46.7,涨↑,✗,+0.35%,0.7534,570
2025-03-03,25.6,跌↓,50.3,涨↑,✗,+3.36%,0.7534,571
2025-03-04,26.46,跌↓,38.0,跌↓,✓,-0.83%,0.7534,572
2025-03-05,26.24,跌↓,33.9,涨↑,✗,+1.64%,0.7534,573
2025-03-06,26.67,跌↓,33.5,跌↓,✓,-2.44%,0.7534,574
2025-03-07,26.02,跌↓,53.0,跌↓,✓,-1.00%,0.7534,575
2025-03-10,25.76,跌↓,49.5,跌↓,✓,-0.12%,0.7534,576
2025-03-11,25.73,跌↓,45.3,涨↑,✗,+0.86%,0.7534,577
2025-03-12,25.95,跌↓,46.0,跌↓,✓,-2.66%,0.7534,578
2025-03-13,25.26,涨↑,54.0,涨↑,✓,+1.62%,0.7656,579
2025-03-14,25.67,跌↓,45.7,跌↓,✓,-0.08%,0.7656,580
2025-03-17,25.65,跌↓,50.6,涨↑,✗,+0.58%,0.7656,581
2025-03-18,25.8,跌↓,37.2,跌↓,✓,-1.47%,0.7656,582
2025-03-19,25.42,跌↓,45.9,跌↓,✓,-0.79%,0.7656,583
2025-03-20,25.22,跌↓,47.4,跌↓,✓,-2.26%,0.7656,584
2025-03-21,24.65,跌↓,50.3,跌↓,✓,-0.08%,0.7656,585
2025-03-24,24.63,跌↓,36.5,跌↓,✓,-0.53%,0.7656,586
2025-03-25,24.5,涨↑,61.0,跌↓,✗,-0.24%,0.7637,587
2025-03-26,24.44,涨↑,57.9,涨↑,✓,+0.70%,0.7691,588
2025-03-27,24.61,跌↓,44.7,跌↓,✓,-0.89%,0.7691,589
2025-03-28,24.39,涨↑,57.3,跌↓,✗,-1.15%,0.7602,590
2025-03-31,24.11,涨↑,53.5,跌↓,✗,+0.00%,0.7602,591
2025-04-01,24.11,涨↑,56.7,跌↓,✗,-0.71%,0.7549,592
2025-04-02,23.94,跌↓,51.7,跌↓,✓,-0.21%,0.7549,593
2025-04-03,23.89,跌↓,45.4,跌↓,✓,-10.00%,0.7549,594
2025-04-07,21.5,跌↓,52.2,涨↑,✗,+0.05%,0.7549,595
2025-04-08,21.51,跌↓,45.4,涨↑,✗,+4.83%,0.7549,596
2025-04-09,22.55,跌↓,50.0,涨↑,✗,+0.98%,0.7549,597
2025-04-10,22.77,涨↑,57.9,涨↑,✓,+5.27%,0.7946,598
2025-04-11,23.97,跌↓,42.4,涨↑,✗,+0.83%,0.7946,599
2025-03-14,25.67,跌↓,46.1,跌↓,✓,-0.08%,0.7946,580
2025-03-17,25.65,跌↓,49.3,涨↑,✗,+0.58%,0.7946,581
2025-03-18,25.8,跌↓,38.8,跌↓,✓,-1.47%,0.7946,582
2025-03-19,25.42,跌↓,50.1,跌↓,✓,-0.79%,0.7946,583
2025-03-20,25.22,跌↓,53.3,跌↓,✓,-2.26%,0.7946,584
2025-03-21,24.65,涨↑,56.8,跌↓,✗,-0.08%,0.794,585
2025-03-24,24.63,跌↓,41.1,跌↓,✓,-0.53%,0.794,586
2025-03-25,24.5,涨↑,65.6,跌↓,✗,-0.24%,0.7921,587
2025-03-26,24.44,涨↑,61.6,涨↑,✓,+0.70%,0.7976,588
2025-03-27,24.61,跌↓,46.9,跌↓,✓,-0.89%,0.7976,589
2025-03-28,24.39,涨↑,62.0,跌↓,✗,-1.15%,0.7884,590
2025-03-31,24.11,涨↑,56.6,跌↓,✗,+0.00%,0.7884,591
2025-04-01,24.11,涨↑,59.3,跌↓,✗,-0.71%,0.7829,592
2025-04-02,23.94,跌↓,51.0,跌↓,✓,-0.21%,0.7829,593
2025-04-03,23.89,跌↓,45.8,跌↓,✓,-10.00%,0.7829,594
2025-04-07,21.5,涨↑,56.2,涨↑,✓,+0.05%,0.7832,595
2025-04-08,21.51,跌↓,45.8,涨↑,✗,+4.83%,0.7832,596
2025-04-09,22.55,跌↓,53.3,涨↑,✗,+0.98%,0.7832,597
2025-04-10,22.77,涨↑,56.6,涨↑,✓,+5.27%,0.8245,598
2025-04-11,23.97,跌↓,45.1,涨↑,✗,+0.83%,0.8245,599
2025-04-14,24.17,跌↓,52.4,跌↓,✓,-1.12%,0.8245,600
2025-04-15,23.9,跌↓,53.5,涨↑,✗,+1.63%,0.8245,601
2025-04-16,24.29,跌↓,46.2,涨↑,✗,+0.12%,0.8245,602
2025-04-17,24.32,涨↑,56.2,跌↓,✗,-1.03%,0.816,603
2025-04-18,24.07,涨↑,60.1,涨↑,✓,+1.12%,0.8252,604
2025-04-21,24.34,涨↑,59.4,涨↑,✓,+2.01%,0.8418,605
2025-04-22,24.83,跌↓,49.0,涨↑,✗,+0.48%,0.8418,606
2025-04-23,24.95,跌↓,51.1,跌↓,✓,-2.20%,0.8418,607
2025-04-24,24.4,涨↑,67.9,跌↓,✗,-0.04%,0.8414,608
2025-04-25,24.39,涨↑,61.3,跌↓,✗,-0.94%,0.8335,609
2025-03-28,24.39,涨↑,58.4,跌↓,✗,-1.15%,0.8239,590
2025-03-31,24.11,跌↓,52.6,跌↓,✓,+0.00%,0.8239,591
2025-04-01,24.11,涨↑,58.0,跌↓,✗,-0.71%,0.8181,592
2025-04-02,23.94,跌↓,49.7,跌↓,✓,-0.21%,0.8181,593
2025-04-03,23.89,跌↓,39.5,跌↓,✓,-10.00%,0.8181,594
2025-04-07,21.5,跌↓,54.7,涨↑,✗,+0.05%,0.8181,595
2025-04-08,21.51,跌↓,43.6,涨↑,✗,+4.83%,0.8181,596
2025-04-09,22.55,跌↓,46.8,涨↑,✗,+0.98%,0.8181,597
2025-04-10,22.77,涨↑,56.2,涨↑,✓,+5.27%,0.8612,598
2025-04-11,23.97,跌↓,47.3,涨↑,✗,+0.83%,0.8612,599
2025-04-14,24.17,涨↑,56.0,跌↓,✗,-1.12%,0.8516,600
2025-04-15,23.9,涨↑,59.9,涨↑,✓,+1.63%,0.8655,601
2025-04-16,24.29,跌↓,46.8,涨↑,✗,+0.12%,0.8655,602
2025-04-17,24.32,涨↑,57.3,跌↓,✗,-1.03%,0.8566,603
2025-04-18,24.07,涨↑,57.4,涨↑,✓,+1.12%,0.8662,604
2025-04-21,24.34,涨↑,58.3,涨↑,✓,+2.01%,0.8837,605
2025-04-22,24.83,跌↓,49.6,涨↑,✗,+0.48%,0.8837,606
2025-04-23,24.95,跌↓,52.4,跌↓,✓,-2.20%,0.8837,607
2025-04-24,24.4,涨↑,65.8,跌↓,✗,-0.04%,0.8833,608
2025-04-25,24.39,涨↑,58.4,跌↓,✗,-0.94%,0.875,609
2025-04-28,24.16,涨↑,61.0,涨↑,✓,+0.99%,0.8837,610
2025-04-29,24.4,跌↓,54.6,涨↑,✗,+2.54%,0.8837,611
2025-04-30,25.02,跌↓,51.0,涨↑,✗,+1.16%,0.8837,612
2025-05-06,25.31,跌↓,42.9,跌↓,✓,-0.63%,0.8837,613
2025-05-07,25.15,涨↑,55.8,涨↑,✓,+0.04%,0.884,614
2025-05-08,25.16,跌↓,52.4,跌↓,✓,-1.39%,0.884,615
2025-05-09,24.81,跌↓,47.3,涨↑,✗,+1.85%,0.884,616
2025-05-12,25.27,跌↓,38.4,跌↓,✓,-0.87%,0.884,617
2025-05-13,25.05,跌↓,40.0,涨↑,✗,+0.36%,0.884,618
2025-05-14,25.14,跌↓,43.8,跌↓,✓,-2.19%,0.884,619
2025-04-14,24.17,涨↑,61.7,跌↓,✗,-1.12%,0.8741,600
2025-04-15,23.9,涨↑,64.1,涨↑,✓,+1.63%,0.8884,601
2025-04-16,24.29,涨↑,54.7,涨↑,✓,+0.12%,0.8895,602
2025-04-17,24.32,涨↑,59.5,跌↓,✗,-1.03%,0.8804,603
2025-04-18,24.07,涨↑,58.9,涨↑,✓,+1.12%,0.8902,604
2025-04-21,24.34,涨↑,57.8,涨↑,✓,+2.01%,0.9082,605
2025-04-22,24.83,跌↓,51.6,涨↑,✗,+0.48%,0.9082,606
2025-04-23,24.95,跌↓,51.5,跌↓,✓,-2.20%,0.9082,607
2025-04-24,24.4,涨↑,65.0,跌↓,✗,-0.04%,0.9078,608
2025-04-25,24.39,涨↑,57.6,跌↓,✗,-0.94%,0.8992,609
2025-04-28,24.16,涨↑,56.0,涨↑,✓,+0.99%,0.9082,610
2025-04-29,24.4,跌↓,48.0,涨↑,✗,+2.54%,0.9082,611
2025-04-30,25.02,跌↓,50.6,涨↑,✗,+1.16%,0.9082,612
2025-05-06,25.31,跌↓,44.4,跌↓,✓,-0.63%,0.9082,613
2025-05-07,25.15,涨↑,59.4,涨↑,✓,+0.04%,0.9085,614
2025-05-08,25.16,跌↓,52.3,跌↓,✓,-1.39%,0.9085,615
2025-05-09,24.81,跌↓,42.8,涨↑,✗,+1.85%,0.9085,616
2025-05-12,25.27,跌↓,37.3,跌↓,✓,-0.87%,0.9085,617
2025-05-13,25.05,跌↓,38.1,涨↑,✗,+0.36%,0.9085,618
2025-05-14,25.14,跌↓,44.3,跌↓,✓,-2.19%,0.9085,619
2025-05-15,24.59,跌↓,44.7,跌↓,✓,-0.16%,0.9085,620
2025-05-16,24.55,跌↓,39.8,跌↓,✓,-0.12%,0.9085,621
