date,close,predict,prob_up,real,correct,ret,equity
2024-09-11,1380.0,跌↓,54.3,跌↓,✓,-3.26%,0.8472
2024-09-12,1335.06,跌↓,48.5,跌↓,✓,-2.32%,0.8472
2024-09-13,1304.13,跌↓,62.0,跌↓,✓,-2.85%,0.8472
2024-09-18,1266.9,跌↓,61.3,跌↓,✓,-0.47%,0.8472
2024-09-19,1261.0,涨↑,64.3,涨↑,✓,+0.23%,0.8492
2024-09-20,1263.92,跌↓,48.0,跌↓,✓,-0.19%,0.8492
2024-09-23,1261.54,跌↓,52.3,涨↑,✗,+8.80%,0.8492
2024-09-24,1372.6,跌↓,59.2,涨↑,✗,+1.92%,0.8492
2024-09-25,1399.0,跌↓,62.4,涨↑,✗,+9.29%,0.8492
2024-09-26,1529.0,跌↓,49.8,涨↑,✗,+6.55%,0.8492
2024-09-27,1629.2,跌↓,42.3,涨↑,✗,+7.29%,0.8492
2024-09-30,1748.0,跌↓,41.5,跌↓,✓,-1.43%,0.8492
2024-10-08,1723.0,跌↓,45.6,跌↓,✓,-7.42%,0.8492
2024-10-09,1595.15,跌↓,46.7,涨↑,✗,+2.81%,0.8492
2024-10-10,1640.0,跌↓,45.3,跌↓,✓,-2.13%,0.8492
2024-10-11,1604.99,跌↓,46.2,跌↓,✓,-0.19%,0.8492
2024-10-14,1601.99,跌↓,42.3,跌↓,✓,-2.98%,0.8492
2024-10-15,1554.25,跌↓,40.2,跌↓,✓,-2.04%,0.8492
2024-10-16,1522.5,跌↓,51.5,跌↓,✓,-1.83%,0.8492
2024-10-17,1494.6,跌↓,49.0,涨↑,✗,+3.10%,0.8492
2024-10-18,1541.0,跌↓,51.7,跌↓,✓,-0.79%,0.8492
2024-10-21,1528.8,跌↓,53.3,涨↑,✗,+0.93%,0.8492
2024-10-22,1543.0,跌↓,48.6,涨↑,✗,+1.59%,0.8492
2024-10-23,1567.5,跌↓,45.9,跌↓,✓,-0.98%,0.8492
2024-10-24,1552.2,跌↓,63.4,涨↑,✗,+0.43%,0.8492
2024-10-25,1558.85,跌↓,63.1,涨↑,✗,+0.39%,0.8492
2024-10-28,1565.0,跌↓,62.7,跌↓,✓,-2.13%,0.8492
2024-10-29,1531.62,涨↑,64.3,涨↑,✓,+0.02%,0.8494
2024-09-25,1399.0,涨↑,65.0,涨↑,✓,+9.29%,0.9283
2024-09-26,1529.0,跌↓,50.0,涨↑,✗,+6.55%,0.9283
2024-09-27,1629.2,跌↓,42.9,涨↑,✗,+7.29%,0.9283
2024-09-30,1748.0,跌↓,43.7,跌↓,✓,-1.43%,0.9283
2024-10-08,1723.0,跌↓,43.6,跌↓,✓,-7.42%,0.9283
2024-10-09,1595.15,跌↓,43.5,涨↑,✗,+2.81%,0.9283
2024-10-10,1640.0,跌↓,41.9,跌↓,✓,-2.13%,0.9283
2024-10-11,1604.99,跌↓,43.7,跌↓,✓,-0.19%,0.9283
2024-10-14,1601.99,跌↓,39.6,跌↓,✓,-2.98%,0.9283
2024-10-15,1554.25,跌↓,35.6,跌↓,✓,-2.04%,0.9283
2024-10-16,1522.5,跌↓,48.7,跌↓,✓,-1.83%,0.9283
2024-10-17,1494.6,跌↓,44.9,涨↑,✗,+3.10%,0.9283
2024-10-18,1541.0,跌↓,54.8,跌↓,✓,-0.79%,0.9283
2024-10-21,1528.8,跌↓,51.6,涨↑,✗,+0.93%,0.9283
2024-10-22,1543.0,跌↓,54.8,涨↑,✗,+1.59%,0.9283
2024-10-23,1567.5,跌↓,46.7,跌↓,✓,-0.98%,0.9283
2024-10-24,1552.2,涨↑,63.6,涨↑,✓,+0.43%,0.9323
2024-10-25,1558.85,跌↓,62.0,涨↑,✗,+0.39%,0.9323
2024-10-28,1565.0,跌↓,60.9,跌↓,✓,-2.13%,0.9323
2024-10-29,1531.62,涨↑,63.9,涨↑,✓,+0.02%,0.9325
2024-10-30,1532.0,涨↑,66.5,跌↓,✗,-0.27%,0.9299
2024-10-31,1527.79,跌↓,60.4,涨↑,✗,+0.39%,0.9299
2024-11-01,1533.75,跌↓,43.0,涨↑,✗,+0.94%,0.9299
2024-11-04,1548.2,跌↓,33.1,涨↑,✗,+1.86%,0.9299
2024-11-05,1576.99,跌↓,41.2,跌↓,✓,-0.38%,0.9299
2024-11-06,1571.0,跌↓,48.8,涨↑,✗,+4.97%,0.9299
2024-11-07,1649.14,跌↓,46.8,跌↓,✓,-2.38%,0.9299
2024-11-08,1609.97,跌↓,43.8,跌↓,✓,-0.74%,0.9299
2024-11-11,1598.01,跌↓,45.0,跌↓,✓,-1.30%,0.9299
2024-11-12,1577.2,跌↓,42.9,涨↑,✗,+0.08%,0.9299
2024-10-16,1522.5,跌↓,40.8,跌↓,✓,-1.83%,0.9299
2024-10-17,1494.6,跌↓,41.2,涨↑,✗,+3.10%,0.9299
2024-10-18,1541.0,跌↓,48.5,跌↓,✓,-0.79%,0.9299
2024-10-21,1528.8,跌↓,49.8,涨↑,✗,+0.93%,0.9299
2024-10-22,1543.0,跌↓,51.3,涨↑,✗,+1.59%,0.9299
2024-10-23,1567.5,跌↓,44.0,跌↓,✓,-0.98%,0.9299
2024-10-24,1552.2,涨↑,64.1,涨↑,✓,+0.43%,0.9339
2024-10-25,1558.85,涨↑,61.5,涨↑,✓,+0.39%,0.9376
2024-10-28,1565.0,涨↑,63.7,跌↓,✗,-2.13%,0.9176
2024-10-29,1531.62,涨↑,65.2,涨↑,✓,+0.02%,0.9178
2024-10-30,1532.0,涨↑,66.7,跌↓,✗,-0.27%,0.9153
2024-10-31,1527.79,跌↓,54.2,涨↑,✗,+0.39%,0.9153
2024-11-01,1533.75,跌↓,40.3,涨↑,✗,+0.94%,0.9153
2024-11-04,1548.2,跌↓,35.5,涨↑,✗,+1.86%,0.9153
2024-11-05,1576.99,跌↓,43.2,跌↓,✓,-0.38%,0.9153
2024-11-06,1571.0,跌↓,54.5,涨↑,✗,+4.97%,0.9153
2024-11-07,1649.14,跌↓,50.5,跌↓,✓,-2.38%,0.9153
2024-11-08,1609.97,跌↓,42.9,跌↓,✓,-0.74%,0.9153
2024-11-11,1598.01,跌↓,45.6,跌↓,✓,-1.30%,0.9153
2024-11-12,1577.2,跌↓,38.4,涨↑,✗,+0.08%,0.9153
2024-11-13,1578.5,跌↓,35.6,跌↓,✓,-0.30%,0.9153
2024-11-14,1573.8,跌↓,36.2,跌↓,✓,-0.94%,0.9153
2024-11-15,1559.0,跌↓,43.7,跌↓,✓,+0.00%,0.9153
2024-11-18,1559.0,跌↓,53.2,跌↓,✓,-1.10%,0.9153
2024-11-19,1541.92,跌↓,50.9,涨↑,✗,+0.19%,0.9153
2024-11-20,1544.81,跌↓,42.5,涨↑,✗,+0.02%,0.9153
2024-11-21,1545.13,跌↓,39.7,跌↓,✓,-2.41%,0.9153
2024-11-22,1507.82,跌↓,38.6,跌↓,✓,-0.61%,0.9153
2024-11-25,1498.57,跌↓,58.9,涨↑,✗,+0.70%,0.9153
