date,close,predict,prob_up,real,correct,ret,equity
2024-12-31,27.7,涨↑,58.7,跌↓,✗,-1.73%,0.6213
2025-01-02,27.22,涨↑,59.6,跌↓,✗,-1.32%,0.613
2025-01-03,26.86,涨↑,63.1,涨↑,✓,+1.68%,0.6233
2025-01-06,27.31,跌↓,48.7,跌↓,✓,-0.62%,0.6233
2025-01-07,27.14,涨↑,55.7,跌↓,✗,-0.66%,0.6192
2025-01-08,26.96,涨↑,54.9,跌↓,✗,-0.37%,0.6169
2025-01-09,26.86,涨↑,57.8,跌↓,✗,-3.05%,0.5981
2025-01-10,26.04,涨↑,64.8,涨↑,✓,+1.04%,0.6043
2025-01-13,26.31,涨↑,57.4,涨↑,✓,+1.86%,0.6155
2025-01-14,26.8,跌↓,50.2,跌↓,✓,-1.79%,0.6155
2025-01-15,26.32,涨↑,56.1,跌↓,✗,-0.30%,0.6136
2025-01-16,26.24,涨↑,50.9,涨↑,✓,+0.34%,0.6157
2025-01-17,26.33,涨↑,50.8,涨↑,✓,+0.87%,0.6211
2025-01-20,26.56,涨↑,56.2,跌↓,✗,-0.23%,0.6197
2025-01-21,26.5,涨↑,65.4,跌↓,✗,-1.89%,0.608
2025-01-22,26.0,涨↑,53.0,涨↑,✓,+0.04%,0.6083
2024-12-25,28.28,涨↑,55.4,跌↓,✗,-0.35%,0.6061
2024-12-26,28.18,涨↑,61.7,涨↑,✓,+1.63%,0.616
2024-12-27,28.64,涨↑,51.0,跌↓,✗,-1.50%,0.6068
2024-12-30,28.21,涨↑,59.7,跌↓,✗,-1.81%,0.5958
2024-12-31,27.7,涨↑,57.8,跌↓,✗,-1.73%,0.5855
2025-01-02,27.22,涨↑,58.3,跌↓,✗,-1.32%,0.5777
2025-01-03,26.86,涨↑,63.2,涨↑,✓,+1.68%,0.5874
2025-01-06,27.31,跌↓,49.2,跌↓,✓,-0.62%,0.5874
2025-01-07,27.14,涨↑,55.8,跌↓,✗,-0.66%,0.5835
2025-01-08,26.96,涨↑,54.6,跌↓,✗,-0.37%,0.5813
2025-01-09,26.86,涨↑,58.3,跌↓,✗,-3.05%,0.5636
2025-01-10,26.04,涨↑,63.6,涨↑,✓,+1.04%,0.5694
2025-01-13,26.31,涨↑,56.0,涨↑,✓,+1.86%,0.58
2025-01-14,26.8,涨↑,50.6,跌↓,✗,-1.79%,0.5696
2025-01-15,26.32,涨↑,54.3,跌↓,✗,-0.30%,0.5679
2025-01-16,26.24,涨↑,50.5,涨↑,✓,+0.34%,0.5699
2025-01-17,26.33,涨↑,52.6,涨↑,✓,+0.87%,0.5748
2025-01-20,26.56,涨↑,55.4,跌↓,✗,-0.23%,0.5735
2025-01-21,26.5,涨↑,63.1,跌↓,✗,-1.89%,0.5627
2025-01-22,26.0,涨↑,50.6,涨↑,✓,+0.04%,0.5629
2025-01-23,26.01,跌↓,49.7,跌↓,✓,-1.81%,0.5629
2025-01-24,25.54,涨↑,59.0,跌↓,✗,-0.51%,0.5601
2025-01-27,25.41,涨↑,63.8,跌↓,✗,-1.61%,0.551
2025-02-05,25.0,涨↑,58.0,涨↑,✓,+0.28%,0.5526
2025-02-06,25.07,涨↑,59.4,涨↑,✓,+0.68%,0.5563
2025-02-07,25.24,跌↓,46.8,涨↑,✗,+0.48%,0.5563
2025-02-10,25.36,涨↑,52.3,跌↓,✗,-2.17%,0.5443
2025-02-11,24.81,涨↑,57.2,涨↑,✓,+0.97%,0.5495
2025-02-12,25.05,跌↓,49.2,涨↑,✗,+10.02%,0.5495
2025-02-13,27.56,涨↑,55.4,涨↑,✓,+0.36%,0.5515
2025-01-09,26.86,跌↓,47.0,跌↓,✓,-3.05%,0.5515
2025-01-10,26.04,涨↑,60.9,涨↑,✓,+1.04%,0.5572
2025-01-13,26.31,跌↓,46.5,涨↑,✗,+1.86%,0.5572
2025-01-14,26.8,跌↓,42.3,跌↓,✓,-1.79%,0.5572
2025-01-15,26.32,跌↓,46.1,跌↓,✓,-0.30%,0.5572
2025-01-16,26.24,跌↓,41.7,涨↑,✗,+0.34%,0.5572
2025-01-17,26.33,跌↓,42.1,涨↑,✗,+0.87%,0.5572
2025-01-20,26.56,跌↓,48.8,跌↓,✓,-0.23%,0.5572
2025-01-21,26.5,涨↑,57.3,跌↓,✗,-1.89%,0.5467
2025-01-22,26.0,跌↓,45.5,涨↑,✗,+0.04%,0.5467
2025-01-23,26.01,跌↓,43.1,跌↓,✓,-1.81%,0.5467
2025-01-24,25.54,涨↑,52.4,跌↓,✗,-0.51%,0.5439
2025-01-27,25.41,涨↑,58.2,跌↓,✗,-1.61%,0.5352
2025-02-05,25.0,涨↑,52.6,涨↑,✓,+0.28%,0.5367
2025-02-06,25.07,跌↓,50.2,涨↑,✗,+0.68%,0.5367
2025-02-07,25.24,跌↓,39.0,涨↑,✗,+0.48%,0.5367
2025-02-10,25.36,跌↓,38.9,跌↓,✓,-2.17%,0.5367
2025-02-11,24.81,跌↓,52.0,涨↑,✗,+0.97%,0.5367
2025-02-12,25.05,跌↓,39.5,涨↑,✗,+10.02%,0.5367
2025-02-13,27.56,涨↑,56.4,涨↑,✓,+0.36%,0.5386
2025-02-14,27.66,涨↑,56.4,跌↓,✗,-2.53%,0.525
2025-02-17,26.96,涨↑,57.1,跌↓,✗,-1.11%,0.5191
2025-02-18,26.66,涨↑,55.9,涨↑,✓,+1.69%,0.5279
2025-02-19,27.11,涨↑,53.6,跌↓,✗,-1.99%,0.5174
2025-02-20,26.57,涨↑,56.9,涨↑,✓,+1.24%,0.5238
2025-02-21,26.9,跌↓,40.0,涨↑,✗,+0.82%,0.5238
2025-02-24,27.12,跌↓,44.8,跌↓,✓,-3.13%,0.5238
2025-02-25,26.27,跌↓,50.9,涨↑,✗,+0.57%,0.5238
2025-02-26,26.42,跌↓,49.5,跌↓,✓,-0.95%,0.5238
2025-02-27,26.17,涨↑,59.3,跌↓,✗,-1.99%,0.5134
2025-01-23,26.01,跌↓,44.7,跌↓,✓,-1.81%,0.5134
2025-01-24,25.54,涨↑,52.9,跌↓,✗,-0.51%,0.5108
2025-01-27,25.41,涨↑,60.3,跌↓,✗,-1.61%,0.5025
2025-02-05,25.0,涨↑,53.7,涨↑,✓,+0.28%,0.504
2025-02-06,25.07,涨↑,52.7,涨↑,✓,+0.68%,0.5074
2025-02-07,25.24,跌↓,38.4,涨↑,✗,+0.48%,0.5074
2025-02-10,25.36,跌↓,42.3,跌↓,✓,-2.17%,0.5074
2025-02-11,24.81,涨↑,57.7,涨↑,✓,+0.97%,0.5123
2025-02-12,25.05,跌↓,41.1,涨↑,✗,+10.02%,0.5123
2025-02-13,27.56,涨↑,56.2,涨↑,✓,+0.36%,0.5141
2025-02-14,27.66,涨↑,52.8,跌↓,✗,-2.53%,0.5011
2025-02-17,26.96,涨↑,58.0,跌↓,✗,-1.11%,0.4956
2025-02-18,26.66,涨↑,56.1,涨↑,✓,+1.69%,0.5039
2025-02-19,27.11,涨↑,52.6,跌↓,✗,-1.99%,0.4939
2025-02-20,26.57,涨↑,57.4,涨↑,✓,+1.24%,0.5
2025-02-21,26.9,跌↓,41.4,涨↑,✗,+0.82%,0.5
2025-02-24,27.12,跌↓,48.9,跌↓,✓,-3.13%,0.5
