date,close,predict,real,correct,ret,equity
2026-03-03,1426.19,跌↓,跌↓,✓,-1.75%,1.1238
2026-03-04,1401.18,跌↓,跌↓,✓,-0.15%,1.1238
2026-03-05,1399.04,跌↓,涨↑,✗,+0.21%,1.1238
2026-03-06,1402.0,跌↓,跌↓,✓,-0.36%,1.1238
2026-03-09,1397.0,跌↓,涨↑,✗,+0.35%,1.1238
2026-03-10,1401.88,涨↑,跌↓,✗,-0.13%,1.1223
2026-03-11,1400.0,涨↑,跌↓,✗,-0.57%,1.1159
2026-03-12,1392.0,涨↑,涨↑,✓,+1.55%,1.1333
2026-03-13,1413.64,跌↓,涨↑,✗,+3.29%,1.1333
2026-03-16,1460.18,涨↑,涨↑,✓,+1.70%,1.1525
2026-03-17,1485.0,跌↓,跌↓,✓,-1.09%,1.1525
2026-03-18,1468.8,跌↓,跌↓,✓,-1.08%,1.1525
2026-03-19,1452.87,跌↓,跌↓,✓,-0.54%,1.1525
2026-03-20,1445.0,跌↓,跌↓,✓,-2.56%,1.1525
2026-03-23,1408.07,涨↑,跌↓,✗,-0.05%,1.1519
2026-03-24,1407.33,跌↓,涨↑,✗,+0.21%,1.1519
2026-03-25,1410.27,跌↓,跌↓,✓,-0.64%,1.1519
2026-03-26,1401.18,跌↓,涨↑,✗,+1.06%,1.1519
2026-03-27,1416.02,跌↓,涨↑,✗,+0.28%,1.1519
2026-03-30,1420.0,跌↓,涨↑,✗,+2.11%,1.1519
2026-03-31,1450.0,涨↑,涨↑,✓,+0.65%,1.1594
2026-04-01,1459.44,涨↑,涨↑,✓,+0.03%,1.1598
2026-04-02,1459.88,涨↑,涨↑,✓,+0.01%,1.1599
2026-04-03,1460.0,涨↑,跌↓,✗,-1.37%,1.144
2026-04-07,1440.02,跌↓,涨↑,✗,+1.74%,1.144
2026-04-08,1465.02,跌↓,跌↓,✓,-0.31%,1.144
2026-04-09,1460.49,跌↓,跌↓,✓,-0.45%,1.144
2026-04-10,1453.96,跌↓,跌↓,✓,+0.00%,1.144
