板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
建筑装饰,603929,亚翔集成,5.23,+0.48%,12.563,2.8,333.0
建筑装饰,002051,中工国际,5.68,-8.29%,12.021,9.83,333.0
化学制剂,600276,恒瑞医药,2.86,-3.26%,44.316,1.25,323.7
化学制剂,300255,常山药业,10.28,+8.06%,21.287,5.27,323.7
化学制剂,002082,万邦德,6.01,-3.69%,13.974,8.84,323.7
化学制剂,300204,舒泰神,4.81,+1.59%,12.068,9.13,323.7
化学制剂,300199,翰宇药业,2.97,-2.55%,11.492,7.29,323.7
石油石化,600759,洲际油气,10.02,+6.68%,39.216,17.01,322.1
石油石化,300164,通源石油,9.13,+3.57%,28.717,33.49,322.1
石油石化,600938,中国海油,3.31,+0.03%,23.551,2.06,322.1
石油石化,601857,中国石油,2.34,+0.83%,21.808,0.11,322.1
石油石化,600256,广汇能源,5.81,+3.67%,17.092,4.01,322.1
证券Ⅲ,300059,东方财富,3.8,+1.27%,69.050,2.59,322.1
证券Ⅲ,600030,中信证券,3.05,+0.73%,55.912,1.77,322.1
证券Ⅲ,600864,哈投股份,12.8,+5.26%,20.101,13.34,322.1
证券Ⅲ,002797,第一创业,3.59,+1.02%,18.021,5.44,322.1
证券Ⅲ,601688,华泰证券,3.31,+1.18%,16.430,1.19,322.1
证券Ⅱ,300059,东方财富,3.8,+1.27%,69.050,2.59,322.1
证券Ⅱ,600030,中信证券,3.05,+0.73%,55.912,1.77,322.1
证券Ⅱ,600864,哈投股份,12.8,+5.26%,20.101,13.34,322.1
证券Ⅱ,002797,第一创业,3.59,+1.02%,18.021,5.44,322.1
证券Ⅱ,601688,华泰证券,3.31,+1.18%,16.430,1.19,322.1
垂直应用软件,300033,同花顺,6.86,+2.78%,42.152,4.1,313.4
垂直应用软件,002261,拓维信息,3.05,+0.56%,23.939,5.81,313.4
垂直应用软件,300803,指南针,4.61,+0.96%,23.030,3.71,313.4
垂直应用软件,600602,云赛智联,4.4,+1.33%,21.096,8.11,313.4
垂直应用软件,300209,行云科技,10.31,+8.32%,17.962,19.69,313.4
锂,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,295.0
锂,002466,天齐锂业,5.1,+4.12%,47.182,5.21,295.0
锂,002738,中矿资源,6.21,+6.64%,40.937,7.08,295.0
锂,002192,融捷股份,9.64,+7.04%,36.392,18.39,295.0
锂,000762,西藏矿业,5.67,-0.65%,31.306,17.57,295.0
小金属,600111,北方稀土,2.82,+1.14%,55.066,2.9,292.5
小金属,002428,云南锗业,5.69,-2.92%,44.794,12.42,292.5
小金属,000657,中钨高新,4.8,-1.29%,30.657,4.39,292.5
小金属,600549,厦门钨业,3.61,-0.89%,24.044,2.68,292.5
小金属,600392,盛和资源,3.1,+1.27%,17.715,3.96,292.5
其他计算机设备,000977,浪潮信息,6.49,+1.24%,72.277,7.2,287.4
其他计算机设备,603019,中科曙光,6.91,+4.33%,62.232,4.79,287.4
其他计算机设备,300042,朗科科技,6.84,+5.32%,19.235,19.94,287.4
其他计算机设备,000066,中国长城,3.59,+2.19%,14.990,3.0,287.4
其他计算机设备,002177,御银股份,4.17,-1.72%,12.488,22.92,287.4
底盘与发动机系统,000338,潍柴动力,4.67,-0.44%,26.502,1.99,273.3
底盘与发动机系统,000559,万向钱潮,1.96,-1.04%,18.000,3.39,273.3
底盘与发动机系统,002536,飞龙股份,3.82,+1.46%,17.796,9.45,273.3
底盘与发动机系统,002126,银轮股份,6.87,+3.03%,16.392,4.41,273.3
底盘与发动机系统,603950,长源东谷,8.06,+10.01%,14.830,8.7,273.3
军工电子Ⅲ,002025,航天电器,6.18,+1.48%,27.134,7.66,271.6
军工电子Ⅲ,000547,航天发展,2.49,-0.26%,22.968,5.45,271.6
军工电子Ⅲ,688629,华丰科技,3.53,-0.83%,18.699,8.22,271.6
军工电子Ⅲ,301306,西测测试,13.93,+7.00%,14.171,15.3,271.6
军工电子Ⅲ,002179,中航光电,2.69,-0.27%,12.188,1.57,271.6
军工电子Ⅱ,002025,航天电器,6.18,+1.48%,27.134,7.66,271.6
军工电子Ⅱ,000547,航天发展,2.49,-0.26%,22.968,5.45,271.6
军工电子Ⅱ,688629,华丰科技,3.53,-0.83%,18.699,8.22,271.6
军工电子Ⅱ,301306,西测测试,13.93,+7.00%,14.171,15.3,271.6
军工电子Ⅱ,002179,中航光电,2.69,-0.27%,12.188,1.57,271.6
轻工制造,600103,青山纸业,8.44,+2.30%,18.964,20.8,252.2
轻工制造,002565,顺灏股份,2.64,-1.44%,18.817,10.76,252.2
轻工制造,002969,嘉美包装,5.66,+5.66%,18.644,6.85,252.2
轻工制造,002229,鸿博股份,6.68,+1.42%,10.426,11.74,252.2
轻工制造,603687,大胜达,8.59,+1.31%,9.915,10.84,252.2
金属制品,002342,巨力索具,7.1,+5.42%,43.377,28.03,251.8
金属制品,002131,利欧股份,3.88,+0.75%,42.126,8.96,251.8
金属制品,002150,正泰电源,6.01,+3.44%,12.802,10.5,251.8
金属制品,603308,应流股份,3.71,-4.38%,12.754,2.72,251.8
金属制品,603667,五洲新春,2.0,-1.59%,11.120,4.36,251.8
交通运输,601872,招商轮船,4.56,-4.51%,32.689,2.2,249.9
交通运输,600026,中远海能,5.72,-4.89%,19.361,2.41,249.9
交通运输,601975,招商南油,9.0,-3.14%,15.205,7.08,249.9
交通运输,601919,中远海控,2.3,-0.72%,13.825,0.74,249.9
交通运输,002352,顺丰控股,1.53,-1.02%,7.208,0.41,249.9
其他专用设备,002837,英维克,4.29,+3.85%,62.269,7.18,243.9
